,Date,Confirmed_1,Discharges_1,LocalTransmission_1
476,5/20/2021,3.0,-3.0,-7.0
477,5/21/2021,-1.0,-33.0,3.0
478,5/22/2021,-11.0,22.0,-8.0
479,5/23/2021,-4.0,-18.0,0.0
480,5/24/2021,11.0,5.0,2.0
481,5/25/2021,-6.0,-9.0,-3.0
482,5/26/2021,-4.0,18.0,3.0
483,5/27/2021,-2.0,-19.0,-9.0
484,5/28/2021,6.0,23.0,0.0
485,5/29/2021,3.0,-19.0,8.0
486,5/30/2021,-8.0,-5.0,-4.0
487,5/31/2021,-2.0,14.0,-3.0
488,6/1/2021,-5.0,-3.0,-1.0
489,6/2/2021,13.0,20.0,9.0
490,6/3/2021,14.0,-8.0,11.0
491,6/4/2021,-32.0,-11.0,-28.0
492,6/5/2021,5.0,10.0,6.0
493,6/6/2021,2.0,-11.0,-7.0
494,6/7/2021,-6.0,3.0,-1.0
495,6/8/2021,-5.0,17.0,-1.0
496,6/9/2021,-5.0,-4.0,-2.0
497,6/10/2021,9.0,-13.0,2.0
498,6/11/2021,-4.0,9.0,-1.0
499,6/12/2021,9.0,5.0,6.0
500,6/13/2021,-5.0,-8.0,1.0
501,6/14/2021,12.0,-6.0,9.0
502,6/15/2021,-11.0,-8.0,-5.0
503,6/16/2021,10.0,3.0,5.0
504,6/17/2021,3.0,9.0,1.0
505,6/18/2021,-11.0,-2.0,-6.0
506,6/19/2021,5.0,9.0,0.0
507,6/20/2021,-10.0,-17.0,-5.0
508,6/21/2021,5.0,9.0,4.0
509,6/22/2021,2.0,0.0,2.0
510,6/23/2021,4.0,-13.0,-2.0
511,6/24/2021,1.0,12.0,1.0
512,6/25/2021,-3.0,-6.0,1.0
513,6/26/2021,-3.0,-1.0,-2.0
514,6/27/2021,-3.0,-6.0,-1.0
515,6/28/2021,-5.0,3.0,-8.0
516,6/29/2021,1.0,-10.0,1.0
517,6/30/2021,6.0,2.0,0.0
518,7/1/2021,-6.0,-3.0,-1.0
519,7/2/2021,0.0,10.0,-1.0
520,7/3/2021,-3.0,-1.0,1.0
521,7/4/2021,4.0,6.0,-3.0
522,7/5/2021,2.0,-8.0,5.0
523,7/6/2021,-3.0,1.0,-4.0
524,7/7/2021,2.0,14.0,3.0
525,7/8/2021,4.0,-6.0,-2.0
526,7/9/2021,-6.0,-11.0,-2.0
527,7/10/2021,-4.0,12.0,-1.0
528,7/11/2021,2.0,-6.0,1.0
529,7/12/2021,18.0,1.0,7.0
530,7/13/2021,0.0,3.0,11.0
531,7/14/2021,34.0,-7.0,37.0
532,7/15/2021,-12.0,0.0,-14.0
533,7/16/2021,13.0,3.0,11.0
534,7/17/2021,7.0,-3.0,7.0
535,7/18/2021,24.0,0.0,28.0
536,7/19/2021,80.0,-8.0,75.0
537,7/20/2021,23.0,5.0,19.0
538,7/21/2021,-14.0,6.0,-3.0
539,7/22/2021,-11.0,-1.0,-17.0
540,7/23/2021,-37.0,-5.0,-32.0
541,7/24/2021,-3.0,-3.0,-3.0
542,7/25/2021,-5.0,2.0,-10.0
543,7/26/2021,10.0,2.0,12.0
544,7/27/2021,4.0,8.0,7.0
545,7/28/2021,-3.0,6.0,-6.0
546,7/29/2021,-3.0,-10.0,-1.0
547,7/30/2021,6.0,38.0,2.0
548,7/31/2021,-19.0,76.0,-14.0
549,8/1/2021,1.0,-36.0,-4.0
550,8/2/2021,-10.0,-18.0,-7.0
551,8/3/2021,-9.0,143.0,-8.0
552,8/4/2021,-7.0,-114.0,-6.0
553,8/5/2021,3.0,-5.0,4.0
554,8/6/2021,-1.0,-21.0,-3.0
555,8/7/2021,-16.0,43.0,-18.0
556,8/8/2021,-3.0,78.0,-2.0
557,8/9/2021,-6.0,4.0,-4.0
558,8/10/2021,-18.0,-114.0,-16.0
559,8/11/2021,9.0,51.0,8.0
560,8/12/2021,-4.0,-54.0,-2.0
561,8/13/2021,-10.0,70.0,-14.0
562,8/14/2021,9.0,-25.0,12.0
563,8/15/2021,-5.0,-9.0,-7.0
564,8/16/2021,0.0,-13.0,-2.0
565,8/17/2021,3.0,50.0,4.0
566,8/18/2021,-3.0,-70.0,-3.0
567,8/19/2021,-21.0,0.0,-20.0
568,8/20/2021,8.0,70.0,7.0
569,8/21/2021,-3.0,-34.0,-4.0
570,8/22/2021,-2.0,-53.0,-3.0
571,8/23/2021,63.0,26.0,65.0
572,8/24/2021,18.0,-27.0,17.0
573,8/25/2021,4.0,-19.0,7.0
574,8/26/2021,-4.0,31.0,-6.0
575,8/27/2021,6.0,-25.0,8.0
576,8/28/2021,-1.0,-5.0,-7.0
577,8/29/2021,12.0,16.0,11.0
578,8/30/2021,22.0,-30.0,23.0
579,8/31/2021,6.0,2.0,9.0
580,9/1/2021,19.0,6.0,21.0
581,9/2/2021,11.0,42.0,10.0
582,9/3/2021,28.0,-34.0,29.0
583,9/4/2021,40.0,88.0,37.0
584,9/5/2021,-68.0,-56.0,-67.0
585,9/6/2021,50.0,31.0,49.0
586,9/7/2021,91.0,29.0,93.0
587,9/8/2021,17.0,197.0,19.0
588,9/9/2021,108.0,-124.0,103.0
589,9/10/2021,116.0,113.0,118.0
590,9/11/2021,-18.0,-113.0,-18.0
591,9/12/2021,-35.0,-21.0,-33.0
592,9/13/2021,87.0,47.0,80.0
593,9/14/2021,230.0,-82.0,235.0
594,9/15/2021,-30.0,112.0,-28.0
595,9/16/2021,103.0,97.0,102.0
596,9/17/2021,25.0,-11.0,28.0
597,9/18/2021,74.0,147.0,70.0
598,9/19/2021,3.0,-34.0,5.0
599,9/20/2021,-95.0,11.0,-99.0
600,9/21/2021,261.0,54.0,263.0
601,9/22/2021,279.0,-79.0,280.0
602,9/23/2021,47.0,-141.0,38.0
603,9/24/2021,146.0,663.0,155.0
604,9/25/2021,-207.0,-244.0,-222.0
605,9/26/2021,496.0,-223.0,510.0
606,9/27/2021,-292.0,7.0,-292.0
607,9/28/2021,589.0,521.0,584.0
608,9/29/2021,32.0,41.0,32.0
609,9/30/2021,210.0,-219.0,216.0
610,10/1/2021,431.0,83.0,423.0
611,10/2/2021,-553.0,653.0,-547.0
612,10/3/2021,-299.0,-404.0,-301.0
613,10/4/2021,418.0,1341.0,411.0
614,10/5/2021,1011.0,-795.0,1020.0
615,10/6/2021,91.0,1154.0,82.0
616,10/7/2021,-94.0,546.0,-87.0
